,INVESTING (manual),,,,,,,EDGAR (nuevos calculos),,,,,,,,COMPARACION % (EDGAR-Investing),,,,,,,CALIDAD,,
Ticket,PER,EPS,Crec.EPS,Margen,ROE,Payout,,PER,EPS_anual,EPS_TTM,Crec.EPS,Margen,ROE,Payout,,PER,EPS(anual),Crec.EPS,Margen,ROE,Payout,,TTM_estrategia,stale,flags
NEM,"12,18","7,69","10,23%",,"25,60%",,,"12,09","6,39","7,78","12,73%","33,87%","25,56%","13,08%",,"-0,75%","-16,95%","+24,44%",,"-0,17%",,,B,,
ERIC,"10,96","7,54","8,45%",,"26,70%",,,,,,,,,,,,,,,,,,,,
PG,"22,33","6,84","5,97%",,"31,00%",,,"22,20","6,51","6,85","5,59%","19,16%",,"61,24%",,"-0,60%","-4,79%","-6,38%",,,,,B,,
SNA,"20,34","19,19","10,90%","19,60%","18,20%","46,59%",,"20,19","19,19","19,42","10,90%","19,60%","17,83%","46,59%",,"-0,72%","+0,00%","-0,00%","+0,00%","-2,03%","-0,00%",,B,,
CL,"36,00","2,63","-3,48%","10,04%","363,58%","87,84%",,"35,43","2,63","2,59","-3,48%","10,04%","822,05%",,,"-1,59%","+0,00%","+0,08%","+0,01%","+126,10%",,,B,,roe_no_significativo
ELP,,,,,,,,,,,,,,,,,,,,,,,,,
HPQ,"8,62","2,65","5,79%","4,45%","-359,58%","42,81%",,"8,47","2,65","2,75","6,00%","4,45%",,"42,81%",,"-1,79%","+0,00%","+3,67%","-0,08%",,"+0,01%",,B,,
KMB,"20,80","4,86","-6,69%","12,80%","111,73%","78,95%",,"16,78","6,07","6,36","-2,45%","12,80%","146,29%","78,95%",,"-19,31%","+24,90%","-63,44%","-0,01%","+30,93%","+0,00%",,A,,
TX,"15,66","2,17","-11,39%","3,66%","3,23%","92,78%",,,,,,,,,,,,,,,,,C,,ni_es_fy_no_ttm
MBT,,,,,,,,,,,,,,,,,,,,,,,,,
WMT,"42,10","2,73","11,51%","3,13%","24,13%","33,42%",,"41,87","2,73","2,84","-10,49%","3,13%","25,53%","33,42%",,"-0,55%","+0,00%","-191,10%","+0,15%","+5,80%","+0,01%",,B,,
HD,"24,14","14,23","3,57%","8,41%","128,38%","65,56%",,"24,37","14,23","14,07","3,57%","8,41%","128,38%","65,56%",,"+0,96%","+0,00%","+0,04%","+0,01%","-0,00%","-0,00%",,B,,
PTR,,,,,,,,,,,,,,,,,,,,,,,,,
AVY,,,,,,,,"18,21","8,79","8,96","5,87%","7,66%","30,86%","42,23%",,,,,,,,,B,,
TGT,"18,31","8,13","-1,21%","3,24%","22,02%","59,68%",,"18,65","8,13","7,57","-1,21%","3,24%","22,02%","59,66%",,"+1,85%","+0,00%","-0,04%","+0,13%","+0,01%","-0,03%",,A,,
NVS,"21,86","7,15","15,23%","23,92%","34,93%","64,15%",,,,,,,,,,,,,,,,,C,,ni_es_fy_no_ttm
SAP,"21,61","6,10","7,00%","19,58%","16,35%","37,51%",,,,,,,,,,,,,,,,,C,SI,stale_2017-12-31
PKX,"-20,94","0,00",,,"-5,37%",,,,,,,,,,,,,,,,,,,,
MMM,"32,32","32,32","-8,51%","11,14%","71,46%","56,62%",,"31,72","6,00","5,23","-8,51%","11,14%","72,14%","56,62%",,"-1,86%","-81,44%","-0,00%","-0,02%","+0,95%","+0,00%",,B,,
UN,,,,,,,,,,,,,,,,,,,,,,,,,
KOF,"16,73","113,51","18,26%","7,88%","15,82%","66,54%",,,,,,,,,,,,,,,,,C,SI,stale_2020-12-31
AMGN,"24,50","14,23","14,23%","20,96%","101,32%","66,71%",,"24,51","14,23","14,34","2,94%","20,96%","101,32%","66,71%",,"+0,04%","+0,00%","-79,33%","-0,02%","-0,00%","-0,01%",,B,,
BG,"28,42","4,93","-8,57%","0,85%","4,93%","73,79%",,"31,23","4,91","3,49",,"0,85%","5,13%","73,79%",,"+9,90%","-0,41%",,"-0,24%","+4,08%","+0,00%",,A,,
PSO,"22,66","0,51","3,02%","9,37%","8,71%","47,76%",,,,,,,,,,,,,,,,,,,
HON,"36,62","6,89","0,49%","10,89%","24,26%","73,76%",,"35,40","7,36","6,42","1,84%","10,89%","26,41%","73,76%",,"-3,33%","+6,82%","+274,71%","-0,00%","+8,87%","+0,00%",,A,,
ITUB,"9,96","4,01","18,70%","33,28%","21,82%","69,17%",,,,,,,,,,,,,,,,,,,
