Investing,P/E RatioTTM,Diluted EPSANN,5 Year EPS Growth5YA,Net Profit marginTTM,Return on EquityTTM,Payout RatioTTM,,EDGAR,,,,,,,,Comparacion,,,,,,
Ticket,PER,EPS,Crecimiento EPS ultimos 5 años,Margen Neto,ROE,Payout,,Ticket,PER,EPS,Crecimiento EPS ultimos 5 años,Margen Neto,ROE,Payout,,Ticket,PER,EPS,Crecimiento EPS ultimos 5 años,Margen Neto,ROE,Payout
ORAN,Joaquin,,,,,,,,,,,,,,,ORAN,,,,,,
,P/E RatioTTM,Diluted EPSANN,5 Year EPS Growth5YA,Net Profit marginTTM,Return on EquityTTM,Payout RatioTTM,,,,,,,,,,,,,,,,
AEG,"12,56","0,59","12,69%","8,01%","10,42%","67,86%",,,,,,,,,,AEG,,,,,,
ORCL,"26,26","5,83","5,08%","25,37%","53,38%","33,87%",,ORCL,"26,87","5,83","5,08%","25,37%","54,28%","33,87%",,ORCL,"+2,30%","+0,00%","+0,05%","-0,01%","+1,69%","-0,01%"
GSK,"13,78","1,39","2,80%","17,78%","40,91%","44,52%",,,,,,,,,,GSK,,,,,,
CBD,,,,,,,,,,,,,,,,CBD,,,,,,
IBM,"23,22","11,14","20,51%","15,61%","35,77%","58,42%",,IBM,"23,28","11,17","12,39%","15,61%","35,93%","58,42%",,IBM,"+0,27%","+0,27%","-39,61%","-0,03%","+0,46%","-0,01%"
YY,,,,,,,,,,,,,,,,YY,,,,,,
WB,"5,5","1,7","4,27%","21,15%","10,44%","43,57%",,WB,"4,36","1,70","4,26%","39,04%","12,13%","43,57%",,WB,"-20,72%","+0,00%","-0,26%","+84,60%","+16,19%","+0,00%"
SID,"-3,35","-1,51","-11,29%","-4,49%","-8,27%","-34,78%",,SID,,,,,,,,SID,,,,,,
CAT,"49,17","18,81","28,07%","13,33%","51,33%","29,46%",,CAT,"49,14","18,81","28,07%","13,32%",,"29,47%",,CAT,"-0,07%","+0,00%","-0,01%","-0,05%",,"+0,03%"
KO,"25,44","3,04","11,17%","27,80%","43,37%","80,07%",,KO,"25,38","3,04","11,17%","27,80%","45,80%","80,07%",,KO,"-0,24%","+0,00%","+0,04%","+0,00%","+5,59%","+0,01%"
XRX,"-0,38","-8,25","57,92%","-14,09%","-115,36%","-4,02%",,XRX,,"-8,25",,"-14,09%","-154,44%",,,XRX,,"-0,00%",,"-0,02%","+33,87%",
HMC,"-13,16","-106,06","-3,53%","-1,94%","-2,85%","57,34%",,HMC,,,,,,,,HMC,,,,,,
SIEGY,"27,9","9,52","14,32%","9,69%","12,59%","53,94%",,,,,,,,,,SIEGY,,,,,,
USB,"12,58","4,62","8,59%","29,29%","12,35%","45,18%",,USB,"11,97","4,62","8,59%","26,93%","12,40%","40,96%",,USB,"-4,82%","+0,00%","-0,02%","-8,06%","+0,42%","-9,35%"
BK,,,,,,,,,,,,,,,,BK,,,,,,
NGG,"18,96","0,65","12,12%","18,32%","8,41%","50,08%",,,,,,,,,,NGG,,,,,,
DE,"34,45","18,5","16,31%","10,10%","18,35%","36,69%",,DE,"34,03","18,50","16,31%","10,09%","18,51%","36,69%",,DE,"-1,23%","+0,00%","+0,02%","-0,08%","+0,85%","+0,01%"
GE,"45,34","8,05","8,08%","17,86%","45,43%","17,74%",,GE,"44,69","8,14","11,95%","17,86%","46,26%",,,GE,"-1,44%","+1,12%","+47,85%","+0,02%","+1,83%",
TM,"9,29","295,25","13,19%","7,59%","10,23%","32,20%",,TM,,,,,,,,TM,,,,,,
HNP,,,,,,,,,,,,,,,,HNP,,,,,,
C,"17,85","6,99","8,13%","20,36%","7,65%","33,71%",,C,"18,80","6,99","8,17%","16,79%","6,80%","37,55%",,C,"+5,32%","+0,00%","+0,49%","-17,55%","-11,14%","+11,39%"
JPM,"15,93","20,02","17,65%","33,94%","16,46%","29,16%",,JPM,"15,40","20,02","17,65%","32,28%","16,46%","29,16%",,JPM,"-3,33%","+0,00%","+0,03%","-4,88%","+0,03%","+0,01%"
BAC,"14,3","3,81","15,30%","28,96%","10,64%","30,37%",,BAC,"13,49","3,81","15,30%","27,56%","10,67%","4,50%",,BAC,"-5,63%","+0,00%","-0,02%","-4,82%","+0,31%","-85,19%"
MRK,"33,73","7,28","32,54%","13,59%","18,94%","92,12%",,MRK,"33,37","7,28","21,23%","13,59%","18,97%","92,12%",,MRK,"-1,08%","+0,00%","-34,75%","-0,03%","+0,15%","+0,00%"
SNE,,,,,,,,,,,,,,,,SNE,,,,,,
BBD,"8,05","2,24","8,60%","25,36%","13,37%","47,06%",,BBD,,,,,,,,BBD,,,,,,
LLY,"39,38","22,95","27,58%","34,99%","107,46%","22,10%",,LLY,"39,60","22,95","27,58%","34,99%","107,65%","22,10%",,LLY,"+0,56%","+0,00%","-0,00%","-0,01%","+0,17%","-0,00%"
KB,"9,92","15,261","11,90%","36,58%","9,99%","24,88%",,KB,,,,,,,,KB,,,,,,
CS,,,,,,,,,,,,,,,,CS,,,,,,
VZ,"11,08","4,06","-1,14%","12,46%","17,20%","66,52%",,VZ,"11,09","4,06","-1,14%","12,46%",,"66,52%",,VZ,"+0,10%","+0,00%","+0,18%","+0,01%",,"+0,00%"
WBK,,,,,,,,,,,,,,,,WBK,,,,,,
HWM,"64,13","3,71","50,53%","20,22%","33,82%","10,72%",,HWM,"63,79","3,71","29,21%","20,22%","33,82%","13,07%",,HWM,"-0,53%","+0,00%","-42,19%","+0,02%","-0,01%","+21,95%"
ING,"9,6","2,78","36,95%","34,23%","16,57%","46,66%",,,,,,,,,,ING,,,,,,
NMR,"11,77","118,99","19,60%","16,71%","10,07%","49,63%",,NMR,,,,,,,,NMR,,,,,,
