ticker,empresa,sector,tipo,precio,precio_52w_max,precio_52w_min,dif_max_52w,dif_min_52w,volumen,market_cap,dividend_yield
EEM,Mercados Emergentes,ETF,CEDEAR,,71.57,47.41,,,22246789.0,,1.77
EFA,iShares EAFE,ETF,CEDEAR,,105.94,86.74,,,8011922.0,,3.1
AGG,Bonos,ETF,CEDEAR,,101.46,97.52,,,5552192.0,,3.96
GLD,Oro,ETF,CEDEAR,,509.7,299.89,,,6725953.0,,0.0
SLV,Plata,ETF,CEDEAR,,109.83,32.06,,,16330773.0,,0.0
COST,Costco,Retail,CEDEAR,951.35,1096.5,844.06,-13.237574099407201,12.711181669549564,2059525.0,421903564800.0,0.62
WMT,Walmart,Retail,CEDEAR,117.18,135.16,94.23,-13.30275229357798,24.35530085959885,17011361.0,932527669248.0,0.84
TGT,Target,Retail,CEDEAR,129.73,137.87,83.44,-5.904112569812147,55.476989453499506,2476184.0,58922209280.0,3.58
HD,Home Depot,Retail,CEDEAR,326.62,426.75,289.1,-23.463386057410663,12.97820823244551,3239240.0,325678235648.0,2.85
LOW,Lowe's,Retail,CEDEAR,214.4,293.06,203.4,-26.84091994813349,5.40806293018683,2253823.0,120215592960.0,2.33
AMZN,Amazon,E-commerce,CEDEAR,232.79,278.56,196.0,-16.430930499712815,18.770408163265294,61980874.0,2504147599360.0,
AMZN,Amazon,E-commerce,CEDEAR,232.79,278.56,196.0,-16.430930499712815,18.770408163265294,61980874.0,2504147599360.0,
EBAY,eBay,E-commerce,CEDEAR,104.94,119.31,72.84,-12.044254463163195,44.069192751235576,4232328.0,46593359872.0,1.18
ETSY,Etsy,E-commerce,CEDEAR,72.54,76.515,44.0,-5.195059792197599,64.86363636363637,1588611.0,6883772928.0,
F,Ford,Automobiles,CEDEAR,14.11,17.78,10.42,-20.641169853768282,35.412667946257194,66546226.0,56224014336.0,4.25
GM,General Motors,Automobiles,CEDEAR,80.43,87.62,47.72,-8.20588906642319,68.54568315171838,8874594.0,72520933376.0,0.9
TM,Toyota,Automobiles,CEDEAR,169.73,248.9,167.18,-31.807955002008846,1.5253020696255337,671777.0,200978169856.0,3.69
HMC,Honda,Automobiles,CEDEAR,25.99,34.89,23.25,-25.508741759816566,11.784946236559124,2141131.0,33722720256.0,5.12
UBER,Uber,Transportation,CEDEAR,71.43,101.99,67.19,-29.96372193352288,6.310462866498012,15390413.0,145402839040.0,
LYFT,Lyft,Transportation,CEDEAR,14.22,25.54,12.46,-44.32263116679718,14.12520064205458,14537297.0,5399085568.0,
CCL,Carnival,Travel,CEDEAR,30.19,34.03,23.45,-11.284161034381423,28.742004264392328,25823891.0,41817366528.0,0.99
RCL,Royal Caribbean,Travel,CEDEAR,309.36,366.5,232.1,-15.590723055934507,33.28737613097803,1582522.0,82968797184.0,1.62
LVS,Las Vegas Sands,Travel,CEDEAR,47.8,70.45,42.06,-32.15046132008518,13.647170708511647,4920576.0,31674062848.0,2.3
WYNN,Wynn Resorts,Travel,CEDEAR,103.62,134.72,89.85,-23.084916864608076,15.325542570951601,1075387.0,10754380800.0,0.97
MGM,MGM Resorts,Travel,CEDEAR,46.57,51.59,29.19,-9.730567939523171,59.54093867762933,2274293.0,11914991616.0,
PENN,Penn Entertainment,Travel,CEDEAR,20.83,22.36,11.65,-6.842576028622549,78.79828326180257,2619586.0,2787957248.0,
DRI,Dine Global,Food,CEDEAR,212.0,224.94,169.0,-5.752645149817726,25.44378698224852,1540348.0,24281419776.0,2.83
CAKE,The Cheesecake Factory,Food,CEDEAR,76.91,78.87,43.07,-2.4851020666920354,78.56977014162989,973367.0,3821301504.0,1.56
CMG,Chipotle,Food,CEDEAR,30.54,58.42,28.04,-47.72338240328655,8.915834522111265,18140202.0,39174696960.0,
YUM,Yum! Brands,Food,CEDEAR,150.74,169.39,137.33,-11.010095046933099,9.764800116507688,1736011.0,41547145216.0,1.99
NKE,Nike,Apparel,CEDEAR,43.19,80.17,41.35,-46.12698016714483,4.44981862152356,18849472.0,63959511040.0,3.8
LULU,Lululemon,Apparel,CEDEAR,105.43,252.24,104.44,-58.20250555026958,0.9479126771352098,5557805.0,11971989504.0,
VF,VF Corp,Apparel,CEDEAR,,,,,,,,
GPS,Gap Inc,Apparel,CEDEAR,,,,,,,,
DECK,Deckers Outdoor,Apparel,CEDEAR,105.57,126.5,78.91,-16.545454545454554,33.78532505385883,1568961.0,14661662720.0,
TJX,TJX Companies,Retail,CEDEAR,164.17,170.0,119.84,-3.429411764705892,36.99098798397862,5210278.0,181359312896.0,1.17
