ticker,empresa,sector,tipo,revenue,net_income,operating_income,total_assets,total_liabilities,stockholders_equity,operating_cash_flow,capital_expenditure,depreciation,ebitda,fcf,shares_outstanding,diluted_shares
WYNN,Wynn Resorts,Travel,CEDEAR,7294288896.0,,,,,,1372333952.0,,,,1372333952.0,103786729.0,103786729.0
MGM,MGM Resorts,Travel,CEDEAR,17715318784.0,,,,,,2550087936.0,,,,2550087936.0,255851235.0,255851235.0
PENN,Penn Entertainment,Travel,CEDEAR,7067599872.0,,,,,,588700032.0,,,,588700032.0,133744451.0,133744451.0
DRI,Dine Global,Food,CEDEAR,12763799552.0,,,,,,1735000064.0,,,,1735000064.0,114535003.0,114535003.0
CAKE,The Cheesecake Factory,Food,CEDEAR,3803441920.0,,,,,,319086016.0,,,,319086016.0,49685363.0,49685363.0
CMG,Chipotle,Food,CEDEAR,12138590208.0,,,,,,2208200960.0,,,,2208200960.0,1282734000.0,1282734000.0
YUM,Yum! Brands,Food,CEDEAR,8486000128.0,,,,,,2022000000.0,,,,2022000000.0,275621202.0,275621202.0
NKE,Nike,Apparel,CEDEAR,46522998784.0,,,,,,1694000000.0,,,,1694000000.0,1199499281.0,1199499281.0
LULU,Lululemon,Apparel,CEDEAR,11203543040.0,,,,,,1935870976.0,,,,1935870976.0,108437957.0,108437957.0
VF,VF Corp,Apparel,CEDEAR,,,,,,,,,,,,,
GPS,Gap Inc,Apparel,CEDEAR,,,,,,,,,,,,,
DECK,Deckers Outdoor,Apparel,CEDEAR,5472295936.0,,,,,,1181954944.0,,,,1181954944.0,138880957.0,138880957.0
TJX,TJX Companies,Retail,CEDEAR,61583998976.0,,,,,,7599000064.0,,,,7599000064.0,1104704446.0,1104704446.0
RH,RH,Furniture,CEDEAR,3425912064.0,,,,,,418100992.0,,,,418100992.0,18900969.0,18900969.0
ZM,Zoom,Technology,CEDEAR,4933060096.0,,,,,,2021396992.0,,,,2021396992.0,264645644.0,264645644.0
DOCU,DocuSign,Technology,CEDEAR,3286081024.0,,,,,,1235256064.0,,,,1235256064.0,190944608.0,190944608.0
PAYC,Paycom,Technology,CEDEAR,2093100032.0,,,,,,710200000.0,,,,710200000.0,46627098.0,46627098.0
PAYX,Paychex,Technology,CEDEAR,3968000000.0,,,,,,1179200000.0,,,,1179200000.0,358290881.0,358290881.0
ADP,Automatic Data,Technology,CEDEAR,21600399360.0,,,,,,5452400128.0,,,,5452400128.0,399734282.0,399734282.0
FISV,Fiserv,Technology,CEDEAR,,,,,,,,,,,,533253986.0,533253986.0
FIS,Fidelity National,Technology,CEDEAR,11440000000.0,,,,,,2768999936.0,,,,2768999936.0,516879151.0,516879151.0
INTU,Intuit,Technology,CEDEAR,20924999680.0,,,,,,7888000000.0,,,,7888000000.0,273537000.0,273537000.0
PYPL,PayPal,Financials,CEDEAR,33734000640.0,,,,,,6390000128.0,,,,6390000128.0,882105493.0,882105493.0
SQ,Square,Financials,CEDEAR,,,,,,,,,,,,,
COIN,Coinbase,Crypto,CEDEAR,6285964800.0,,,,,,1756433024.0,,,,1756433024.0,222426875.0,222426875.0
RIOT,Riot Platforms,Crypto,CEDEAR,653267008.0,,,,,,-633518976.0,,,,-633518976.0,378151230.0,378151230.0
MARA,Marathon Digital,Crypto,CEDEAR,867822976.0,,,,,,-834726016.0,,,,-834726016.0,381270503.0,381270503.0
MSTR,Microstrategy,Technology,CEDEAR,490467008.0,,,,,,-50863000.0,,,,-50863000.0,338128276.0,338128276.0
SOFI,SoFi,Financials,CEDEAR,3908427008.0,,,,,,-6078953984.0,,,,-6078953984.0,1282741200.0,1282741200.0
UPST,Upstart,Technology,CEDEAR,1173714048.0,,,,,,-267536000.0,,,,-267536000.0,95711569.0,95711569.0
RBLX,Roblox,Gaming,CEDEAR,5297550848.0,,,,,,1981357952.0,,,,1981357952.0,671595792.0,671595792.0
ASRT,Assertio,Healthcare,CEDEAR,102158000.0,,,,,,-7081000.0,,,,-7081000.0,6462180.0,6462180.0
WDAY,Workday,Technology,CEDEAR,9854000128.0,,,,,,3177999872.0,,,,3177999872.0,201000000.0,201000000.0
OKTA,Okta,Technology,CEDEAR,2996000000.0,,,,,,920000000.0,,,,920000000.0,166119894.0,166119894.0
CRWD,CrowdStrike,Technology,CEDEAR,5094199808.0,,,,,,1819179008.0,,,,1819179008.0,254564820.0,254564820.0
NET,Cloudflare,Technology,CEDEAR,2328604928.0,,,,,,615660032.0,,,,615660032.0,321184834.0,321184834.0
FASN,Fastenmaster,Industrials,CEDEAR,,,,,,,,,,,,,
BBAR_US,Banco BBVA Argentina,Financials,ADR,,,,,,,,,,,,,
BMA_US,Banco Macro,Financials,ADR,,,,,,,,,,,,,
CAAP_US,Corporación América Airports,Transportation,ADR,,,,,,,,,,,,,
CEPU_US,Central Puerto,Utilities,ADR,,,,,,,,,,,,,
CRESY_US,Cresud,Agriculture,ADR,,,,,,,,,,,,,
EDN_US,Edenor,Utilities,ADR,,,,,,,,,,,,,
GGAL_US,Grupo Financiero Galicia,Financials,ADR,,,,,,,,,,,,,
GLOB_US,Globant,Technology,ADR,,,,,,,,,,,,,
IRS_US,IRSA,Real Estate,ADR,,,,,,,,,,,,,
LOMA_US,Loma Negra,Materials,ADR,,,,,,,,,,,,,
MELI_US,MercadoLibre,E-commerce,ADR,,,,,,,,,,,,,
PAM_US,Pampa Energía,Utilities,ADR,,,,,,,,,,,,,
SUPV_US,Grupo Supervielle,Financials,ADR,,,,,,,,,,,,,
TEO_US,Telecom Argentina,Telecommunications,ADR,,,,,,,,,,,,,
TGS_US,Transportadora Gas Sur,Energy,ADR,,,,,,,,,,,,,
TS_US,Tenaris,Materials,ADR,,,,,,,,,,,,,
TX_US,Ternium Argentina,Materials,ADR,,,,,,,,,,,,,
YPF_US,YPF,Energy,ADR,,,,,,,,,,,,,
