ticker,empresa,sector,tipo,precio,market_cap,precio_52w_max,precio_52w_min,pe,p_book,deuda_equity,deuda_ebitda,margen_neto,roe,op_margin,ebitda_margin,fcf,fcf_yield,payout_ratio,current_ratio,eps_cagr_5y,revenue,net_income,ebitda,equity,liabilities
YUM,Yum! Brands,Food,CEDEAR,150.74,41547145216.0,169.39,137.33,,,,,,,,,2022000000.0,0.048667603742394275,1.99,,,8486000128.0,,,,
NKE,Nike,Apparel,CEDEAR,43.19,63959511040.0,80.17,41.35,,,,,,,,,1694000000.0,0.026485505790383227,3.8,,,46522998784.0,,,,
LULU,Lululemon,Apparel,CEDEAR,105.43,11971989504.0,252.24,104.44,,,,,,,,,1935870976.0,0.16170002282020043,,,,11203543040.0,,,,
VF,VF Corp,Apparel,CEDEAR,,,,,,,,,,,,,,,,,,,,,,
GPS,Gap Inc,Apparel,CEDEAR,,,,,,,,,,,,,,,,,,,,,,
DECK,Deckers Outdoor,Apparel,CEDEAR,105.57,14661662720.0,126.5,78.91,,,,,,,,,1181954944.0,0.08061534128647586,,,,5472295936.0,,,,
TJX,TJX Companies,Retail,CEDEAR,164.17,181359312896.0,170.0,119.84,,,,,,,,,7599000064.0,0.04190024731929606,1.17,,,61583998976.0,,,,
RH,RH,Furniture,CEDEAR,146.71,2772961024.0,257.0,106.3,,,,,,,,,418100992.0,0.15077781057192385,,,,3425912064.0,,,,
ZM,Zoom,Technology,CEDEAR,84.34,24731205632.0,114.74,69.15,,,,,,,,,2021396992.0,0.08173467246515836,,,,4933060096.0,,,,
DOCU,DocuSign,Technology,CEDEAR,42.71,8155244032.0,86.65,40.16,,,,,,,,,1235256064.0,0.1514677009238514,,,,3286081024.0,,,,
PAYC,Paycom,Technology,CEDEAR,123.67,5766372864.0,248.95,104.9,,,,,,,,,710200000.0,0.1231623442933849,1.21,,,2093100032.0,,,,
PAYX,Paychex,Technology,CEDEAR,95.93,34370842624.0,152.57,85.45,,,,,,,,,1179200000.0,0.03430814929095176,4.96,,,3968000000.0,,,,
ADP,Automatic Data,Technology,CEDEAR,214.6,85782978560.0,315.98,188.16,,,,,,,,,5452400128.0,0.06356039647406712,3.17,,,21600399360.0,,,,
FISV,Fiserv,Technology,CEDEAR,47.18,25158922240.0,177.36,47.04,,,,,,,,,,,,,,,,,,
FIS,Fidelity National,Technology,CEDEAR,37.72,19496681472.0,82.74,37.42,,,,,,,,,2768999936.0,0.1420241665217066,4.45,,,11440000000.0,,,,
